workload_type,engine,ad_mode,M,instance_type,machine_family,vcpu_count,mean_runtime_ms,throughput_paths_per_sec,cost_per_run,paths_per_dollar,region,zone
asian,jax,none,25000,c2d-standard-4,c2d,4,119.80066200000091,208679.9820855732,0.0029950165500000226,,europe-west1,europe-west1-b
european,cpu,none,10000,c2d-standard-4,c2d,4,0.19745000000170876,50645733.09654828,1.9745000000170875e-06,,europe-west1,europe-west1-b
european,cpu,none,50000,c2d-standard-4,c2d,4,0.89722219999544,55727555.56009885,4.4861109999772e-05,,europe-west1,europe-west1-b
european,cpu,none,100000,c2d-standard-4,c2d,4,1.7017071999987365,58764516.010788605,0.00017017071999987367,,europe-west1,europe-west1-b
european,jax,none,10000,c2d-standard-4,c2d,4,0.46645039999759774,21438506.64518993,4.664503999975977e-06,,europe-west1,europe-west1-b
european,jax,none,50000,c2d-standard-4,c2d,4,0.9514196000054653,52553048.097509004,4.757098000027327e-05,,europe-west1,europe-west1-b
european,jax,none,100000,c2d-standard-4,c2d,4,1.9875391999988776,50313473.06259744,0.00019875391999988777,,europe-west1,europe-west1-b
european,jax,forward,10000,c2d-standard-4,c2d,4,1.7931020000048647,5576927.581349455,1.7931020000048646e-05,,europe-west1,europe-west1-b
european,jax,forward,50000,c2d-standard-4,c2d,4,2.1058209999978317,23743708.51086179,0.00010529104999989158,,europe-west1,europe-west1-b
european,jax,forward,100000,c2d-standard-4,c2d,4,4.093760000003499,24427421.245973025,0.0004093760000003499,,europe-west1,europe-west1-b
european,jax,reverse,10000,c2d-standard-4,c2d,4,1.9244860000014796,5196192.645720629,1.9244860000014796e-05,,europe-west1,europe-west1-b
european,jax,reverse,50000,c2d-standard-4,c2d,4,2.9815270000000282,16769930.30752347,0.00014907635000000141,,europe-west1,europe-west1-b
european,jax,reverse,100000,c2d-standard-4,c2d,4,3.847043600001143,25993986.655095432,0.0003847043600001143,,europe-west1,europe-west1-b
european,cpp,none,10000,c2d-standard-4,c2d,4,0.10292060000551828,97162278.48908608,1.029206000055183e-06,,europe-west1,europe-west1-b
